Starting training
  dataset_root: dataset/cleaned
  model_type:   denoised_cnn
  epochs:       10
  batch_size:   32
  lr:           1e-4
  out_dir:      models
  max_samples:  0
Activating virtual environment and dependencies...
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo2023/x86-64-v4, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo2023/x86-64-v3, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo2023/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: facenet-pytorch in ./.venv/lib/python3.11/site-packages (2.6.0)
Using device: cuda
Training images:   160002
Validation images: 49428
Checkpoints & metrics → models/denoised_cnn/
Figures               → figures/denoised_cnn/
  [Epoch 2 | Batch 1000/5001] Avg Loss: 0.1141
  [Epoch 2 | Batch 1020/5001] Avg Loss: 0.1142
  [Epoch 2 | Batch 1040/5001] Avg Loss: 0.1136
  [Epoch 2 | Batch 1060/5001] Avg Loss: 0.1132
  [Epoch 2 | Batch 1080/5001] Avg Loss: 0.1136
  [Epoch 2 | Batch 1100/5001] Avg Loss: 0.1132
  [Epoch 2 | Batch 1120/5001] Avg Loss: 0.1134
  [Epoch 2 | Batch 1140/5001] Avg Loss: 0.1136
  [Epoch 2 | Batch 1160/5001] Avg Loss: 0.1132
  [Epoch 2 | Batch 1180/5001] Avg Loss: 0.1129
  [Epoch 2 | Batch 1200/5001] Avg Loss: 0.1126
  [Epoch 2 | Batch 1220/5001] Avg Loss: 0.1128
  [Epoch 2 | Batch 1240/5001] Avg Loss: 0.1123
  [Epoch 2 | Batch 1260/5001] Avg Loss: 0.1123
  [Epoch 2 | Batch 1280/5001] Avg Loss: 0.1121
  [Epoch 2 | Batch 1300/5001] Avg Loss: 0.1118
  [Epoch 2 | Batch 1320/5001] Avg Loss: 0.1119
  [Epoch 2 | Batch 1340/5001] Avg Loss: 0.1120
  [Epoch 2 | Batch 1360/5001] Avg Loss: 0.1119
  [Epoch 2 | Batch 1380/5001] Avg Loss: 0.1116
